Study_ID,Authors_OS,Journal_OS,Discipline,Type_Test_Statistic_OS,DF1_OS,DF2_OS,Test_Statistic_OS,Analysis_Type_OS,Effect_Size_OS,Power_OS,N_OS,r_OS,pval_OS,FZ_OS,Type_Test_Statistic_RS,DF1_RS,DF2_RS,Test_Statistic_RS,Analysis_Type_RS,Power_RS,Effect_Size_RS,N_RS,r_RS,pval_RS,FZ_RS,FZ_meta,FZ_se_OS,FZ_se_RS,pvalFZ_OS,pvalFZ_RS
39,TJ Pleskac,JEPLMC,Cognitive,z,NA,NA,3.1,Test of contrast of 4 correlated correlations.,X,NA,68,0.366615713,0.001935206,0.384507676875194,z,NA,NA,1.25,Test of contrast of 4 correlated correlations.,13,X,153,0.101709161,0.211299547,0.10206207280560248,NA,NA,NA,NA,NA
40,"W Mou, X Li, TP McNamara",JEPLMC,,F,1,23,0.36,ANOVA,MSE = 0.81,NA,24,0.124140883,0.554372267,0.12478455534316432,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,A Guinote,JPSP,Social,F,1,68,4.14,ANOVA 2x2,__p^2 = 0.0574,NA,72,0.239558785,0.045782735,0.2443059829254569,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"B De Raad, DP Barelds",JPSP,,r_c,NA,NA,0.5,factor analysis,r = .50,NA,1466,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"B Monin, PJ Sawyer, MJ Marquez",JPSP,Social,F,2,64,10.17,"ANOVA, omnibus",__p^2 = 0.241,NA,67,0.347251138,1.46111e-4,0.3623145686562408,F,2,72,1.97,"ANOVA, omnibus",25,_^2 = 0.052,75,0.161063754,0.146902278,0.16247858884867,NA,NA,NA,NA,NA
44,"BK Payne, MA Burkley, MB Stokes",JPSP,Social,t,1,67,3.08,hierachical multiple linear regression,_R^2=.09,NA,70,0.352175067,0.003000884,0.3679246204592626,t,1,176,2.016,hierachical multiple linear regression,25,_R^2 = .016,180,0.150236955,0.045320778,0.1513828539630307,0.210684749,0.12309149097933274,0.07559289460184544,0.002798612195925778,0.045219496342539155
45,"C Anderson, A Shirako",JPSP,,beta,NA,NA,0.34,moderated multiple regression,_ = .34,NA,39,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"CJ Soto, OP John, SD Gosling, J Potter",JPSP,Social,F,21,230025,118.15,Levene<cd>s test for equality of variance,X,NA,230047,0.022542373,0,0.022546192531378944,F,21,455304,261.93,Levene<cd>s test for equality of variance,25,X,455326,0.023841537,0,0.02384605586790424,NA,NA,NA,NA,NA
47,"CK De Dreu, M Baas, BA Nijstad",JPSP,Social,z,NA,NA,2.45,Sobel test,X,NA,546,0.104753853,0.028571242,0.1051395633140634,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"CR Cox, J Arndt, T Pyszczynski, J Greenberg, A Abdollahi, S Solomon",JPSP,Social,t,1,92,-2.22,independent samples t-test,pr^2 = 0.224,NA,100,0.225490086,0.028875522,0.22943282644235174,t,1,192,-0.725548,Multiple regression,25,f2 = .05,200,-0.052290282,0.468999328,-0.05233801898581877,0.038588034,0.10482848367219183,0.07235746052924216,0.028622312543969894,0.4694797374467586
49,"D Albarrac<d5>n, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart",JPSP,Social,F,1,34,5.68,ANOVA,__p^2 = 0.143,NA,36,0.378345294,0.022889441,0.39812709641779126,F,1,86,0.08,ANOVA,22,_^2 = .00096,88,-0.030485538,0.777977082,-0.030494987364491476,0.0893739,0.17407765595569785,0.10846522890932808,0.02219196832956808,0.7785954356831912
50,"D Albarrac<d5>n, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart",JPSP,Social,F,2,92,4.36,between ANOVA,__p^2 = 0.087,NA,98,0.208058463,0.015520906,0.211141100838117,F,2,103,2.601,between ANOVA,10,__ = .049,109,0.155043132,0.079067813,0.1563036918570825,NA,NA,NA,NA,NA
51,"DA Stinson, C Logel, MP Zanna, JG Holmes, JJ Cameron, JV Wood, SJ Spencer",JPSP,Social,,NA,NA,NA,mediation analyses,X,NA,203,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"DB Centerbar, S Schnall, GL Clore, ED Garvin",JPSP,Social,F,1,131,5.79,RM ANOVA,_^2 = -.04,NA,133,0.20573686,0.017513309,0.20871567209305558,F,1,111,0.99,RM ANOVA,21,_2 = .014,113,0.094021673,0.321906461,0.09430020472425155,0.15627525,0.08770580193070292,0.09534625892455922,0.017325571652182455,0.32264900653158607
53,"DM Amodio, PG Devine, E Harmon-Jones",JPSP,Social,F,1,31,5.14,mixed ANOVA,__p^2 = .16,0.99,48,0.377126878,0.030503191,0.39670589691203945,F,1,73,0.432,mixed ANOVA,25,__p^2 = 0.006,75,0.076700677,0.513076239,0.07685162002786516,0.170926407,0.18257418583505536,0.11785113019775792,0.029791783039109627,0.5143317487130482
54,"DP Schmitt, A Realo, M Voracek, J Allik",JPSP,,F,5,35,8.42,multiple regression,R = .74,NA,41,0.330467577,2.62e-5,0.34335306422495093,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"E Harmon-Jones, C Harmon-Jones, M Fearn, JD Sigelman, P Johnson",JPSP,Social,F,2,54,3.19,RM ANOVA,__p^2 = 0.11,0.84,57,0.229852265,0.049036287,0.2340334856579958,F,2,68,0.3,RM ANOVA,5,__p^2 = 0.01,71,0.066130007,0.741793627,0.06622666016266096,NA,NA,NA,NA,NA
56,"E van Dijk, GA van Kleef, W Steinel, I van Beest",JPSP,Social,F,1,99,16.62,ANOVA,__p^2 = 0.1433,NA,103,0.379139495,9.23e-5,0.3990543011208611,t,1,38,-0.26,t-test,21,d=0.082,83,-0.042140104,0.796267394,-0.04216507457967953,0.278127509,0.10101525445522107,0.1643989873053573,7.800894524719553e-5,0.7975801169633712
57,"ER Hirt, EE Devers, SM McCrea",JPSP,Social,t,1,53,-2.2,independent samples t-test,d = -0.593,NA,55,0.289273426,0.032188467,0.29777315629092754,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"EP Lemay, MS Clark",JPSP,Social,F,1,182,5.24,RM ANOVA,__p^2 = 0.028,NA,186,0.167288593,0.023221684,0.1688758822640618,F,1,278,0.376,RM ANOVA,12,__p^2 = .001,280,0.03675175,0.540253118,0.03676831017690544,0.088976761,0.07432941462471664,0.06008417681261097,0.02308695543863513,0.5405730615495283
59,"EP Lemay, MS Clark",JPSP,Social,b,NA,NA,0.68,multilevel model,level 1 R2 = .68,NA,153,NA,NA,NA,b,NA,NA,0.72,multilevel model,25,b=.72,216,NA,NA,NA,NA,NA,NA,NA,NA
60,"GR Maio, G Thomas, FD Fincham, KB Carnelley",JPSP,,T,NA,NA,0.97,Wilcoxon's signed-rank test for matched pairs,,NA,342,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"H Ersner-Hershfield, JA Mikels, SJ Sullivan, LL Carstensen",JPSP,Social,t,1,108,-2.34,independent-samples t-test,d = .45,0.65,110,0.219666896,0.021121432,0.2233060897246686,t,1,220,0.07,independent-samples t-test,25,d = -.01,222,-0.004719346,0.944257246,-0.004719381037249494,0.070123335,0.09667364890456635,0.06757373783994859,0.020893904095460627,0.9443206421521418
62,HS Kim,JPSP,,F,3,42,2.9,ANCOVA,__p^2 = .07,NA,47,0.239163565,0.046042837,0.24388674308690933,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,J Correll,JPSP,Social,F,1,68,5.52,between ANOVA using planned orthogonal contrasts,d=.56,NA,71,0.274010238,0.021711499,0.2811944797047907,F,1,145,0.794,between ANOVA using planned orthogonal contrasts,12,d = .16,148,0.073797292,0.374369532,0.07393169914172715,0.139744999,0.12216944435630522,0.08333333333333333,0.021353449849447134,0.37498178860913534
64,"J F_rster, N Liberman, S Kuschel",JPSP,Social,F,2,76,21.57,ANOVA,__p^2 = .362,NA,82,0.425496777,3.81e-8,0.45438497001014755,F,2,65,0.865,ANOVA,25,__p^2 = 0.0259,71,0.11385379,0.425841059,0.11434960227696839,NA,NA,NA,NA,NA
65,"JJ Exline, RF Baumeister, AL Zell, AJ Kraft, CV Witvliet",JPSP,Social,F,1,41,9.4,ANOVA,__p^2 = .186,NA,45,0.431865646,0.003830676,0.46218779550530215,F,1,131,0.018,ANOVA,25,__p^2= .001,135,0.011721165,0.893478732,0.01172170181777246,0.117713724,0.15811388300841897,0.08770580193070292,0.0034652926374148492,0.8936809549655869
66,"JJ Exline, RF Baumeister, AL Zell, AJ Kraft, CV Witvliet",JPSP,,,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"JK McNulty, EM O'Mara, BR Karney",JPSP,,Chi2,1,NA,3.16,Pearson's Chi-squared test,,NA,251,0.112203571,0.075463183,0.11267802770612285,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"JL Risen, T Gilovich",JPSP,Social,F,1,116,4.15,ANOVA,__p^2 = 0.035,NA,122,0.185849827,0.043910406,0.188035056711107,F,1,222,0.002,ANOVA,8,__p^2= .000,226,0.003001488,0.964369609,0.0030014970134473644,0.066331436,0.09325048082403138,0.06726727939963124,0.04375280195229767,0.96440983342415
69,"JL Tracy, RW Robins",JPSP,Social,Chi,NA,NA,NA,binomial test,Av. Proportion = 0.78,NA,211,NA,1e-6,NA,Chi,333,NA,NA,binomial test,25,Av. proportion 0.77,333,NA,1e-6,NA,NA,NA,NA,NA,NA
70,"K Brinkmann, GH Gendolla",JPSP,,F,1,60,5.17,ANOVA,__p^2 = .077,NA,64,0.281657559,0.026571937,0.2894815472294398,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"KE Stanovich, RF West",JPSP,Social,t,1,373,4.4,independent samples t-test,d = 0.493,NA,375,0.222131584,1.41e-5,0.22589721719011896,t,1,175,0.973,independent samples t-test,16,d = 0.15,177,0.073353737,0.331896286,0.07348572994407541,0.177326523,0.05184758473652126,0.07580980435789034,1.3188874164647962e-5,0.33237390556198865
72,"KL Blankenship, DT Wegener",JPSP,Social,F,1,257,11.58,ANOVA,__p^2 = .042,NA,261,0.207643072,7.73087e-4,0.21070695383739751,F,1,247,0.49,ANOVA,18,__p^2 = .002,251,0.04449582,0.48458607,0.04452522036505802,0.129271284,0.0625,0.06375767130633384,7.481128042964701e-4,0.4849578409840605
73,"KR Morrison, DT Miller",JPSP,Social,Chi2,1,NA,3.85,Pearson's Chi-squared test,cramer's v = .322,0.499,37,0.322574106,0.049745991,0.33451751586186546,Chi2,1,NA,4.8,Pearson's Chi-squared test,16,phi = .20,120,0.2,0.028459737,0.2027325540540822,NA,NA,NA,NA,NA
74,"LA Fast, DC Funder",JPSP,,,NA,NA,NA,correlation,X,NA,181,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"LM Diamond, AM Hicks, KD Otter-Henderson",JPSP,,b,NA,NA,0.12,"linear regression, beta coefficient",_ = 0.12,NA,42,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"M Iida, G Seidman, PE Shrout, K Fujita, N Bolger",JPSP,,t,1,195,4.64,dependent samples t-test,,NA,196,0.315325682,6.38e-6,0.32644815192095356,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"M Koo, A Fishbach",JPSP,Social,F,1,242,10.47,ANOVA,__p^2 = 0.041,NA,246,0.203642514,0.001382678,0.20652973922771092,beta,NA,NA,0.4695,logistic regression,25,OR = 0.159,768703,NA,0.758,NA,NA,NA,NA,NA,NA
78,"MA Fournier, DS Moskowitz, DC Zuroff",JPSP,,,NA,NA,0.24,one sample t-test,,NA,50,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"MA Z<e0>rate, CJ Stoever, MK MacLin, CJ Arms-Chavez",JPSP,Social,F,1,61,4.34,2x2x2x2x2 ANOVA,f(U) = 0.266,NA,63,0.257724259,0.041425181,0.26366921525898734,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"MD Henderson, Y de Liver, PM Gollwitzer",JPSP,Social,F,2,43,3.36,ANOVA,__p^2 = 0.135,NA,46,0.259958534,0.044070981,0.26606393505837145,F,2,67,1.7,ANOVA,11,_^2 = .048,70,0.15539539,0.190467907,0.15666464634450178,NA,NA,NA,NA,NA
81,"N Shnabel, A Nadler",JPSP,Social,F,1,90,6.98,between ANOVA,__p2 = .07,NA,94,0.268278965,0.009719762,0.2750083865727454,F,1,137,1.43,between ANOVA,15,__p^2 = .010,141,-0.101637251,0.233830099,-0.10198941167543697,0.047134162,0.105999788000636,0.08574929257125442,0.009474957807827401,0.23428595618488907
82,"NO Rule, N Ambady",JPSP,Social,r,41,NA,0.3,partial correlation,r = .30,0.56,50,0.3,0.033841139,0.30951960420311175,r,41,NA,0.27,partial correlation,2,r = .27,50,0.27,0.086,0.2768638226551001,0.293191713,0.15811388300841897,0.15811388300841897,0.05028003719523707,0.079938923243933
83,"NO Rule, N Ambady",JPSP,,,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"P Fischer, S Schulz-Hardt, D Frey",JPSP,Social,Chi2,1,NA,13.18,Pearson's Chi-squared test,d = 1.1653,NA,52,0.503449638,2.82953e-4,0.5539162964900023,Chi2,1,NA,7.1,Pearson's Chi-squared test,25,d = .46,150,0.217562252,0.007708395,0.22109581033885267,NA,NA,NA,NA,NA
85,"P Fischer, S Schulz-Hardt, D Frey",JPSP,,,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"P Fischer, T Greitemeyer, D Frey",JPSP,Social,F,2,82,4.05,between ANOVA,__p^2 =.09,NA,85,0.212014281,0.02102091,0.21527949148296693,F,2,137,1.99,between ANOVA,16,_2 = .03,140,0.118808574,0.140627311,0.11937236994972508,NA,NA,NA,NA,NA
87,"PA Goff, CM Steele, PG Davies",JPSP,Social,F,1,51,9.46,between ANOVA,__p^2 = .16,NA,55,0.395559206,0.003371756,0.4183733776447918,F,1,47,0.008,between ANOVA,12,__p^2 = .002,51,0.013045451,0.929110139,0.013046191117013967,0.224154101,0.1414213562373095,0.14744195615489714,0.0030929421653920087,0.9294923398298719
