Study,N_OS,Type_Test_OS,Effect_Size_OS,Test_Statistic_OS,r_OS,Power_OS,r_CI_OS,FZ_OS,FZ_se_OS,pval_OS,N_RS,Type_Test_RS,Test_Statistic_RS,Effect_Size_RS,r_RS,r_CI_RS,FZ_RS,FZ_se_RS,pval_RS,Replication_Success,OSF
Beebe & Buckwalter (2010),749,Student t-test,d = 0.74,"t = −10.126, df = 747, p<.001",0.35,0.99,"[0.29, 0.41]",0.36544375427139614,0.03661260129691062,1.8391811242318057e-23,514,Student t-test,"t(512) = 7.4773, p < .001",d = 0.66,0.31,"[ 0.23 , 0.39 ]",0.3205454093019461,0.04423739552038088,4.291712320960153e-13,YES,osf.io/n6r3b/
Sytsma & Machery (2010),148,ANOVA (3-way),d = 0.87,Not reported,0.39,0.99,"[0.24, 0.52]",0.4118000344786903,0.08304547985373997,7.095584190178444e-7,NA,Student t-test,"t(86) = 2.420, p = .018",d = 0.52,0.25,"[0.04, 0.44]",0.25541281188299536,NA,NA,YES,"osf.io/z2fj8
"
Alicke et al. (2011),217,ANOVA (2-way),partial η2 = .058,"Interaction effect, F(1, 213) = 13.05, p < .001",0.24,0.87,"[0.11, 0.36 ]",0.2447741126593529,0.06835859270246633,3.4262696631072817e-4,217,ANOVA (2-way),"F(1, 213) = 0.98, p=.32",partial η2 = 0.00458,0.07,"[ -0.07 , 0.2 ]",0.07011467065432513,0.06835859270246633,0.3050381039620297,NO,osf.io/4yuym
Reuter (2011),NA,Chi-square (reconstructed),w = 0.31,"X2(1, N = 15664) = 1512.4, p < 0.001",0.31,0.99,"[0.3, 0.32]",0.3205454093019461,NA,NA,NA,Chi-square,"X2(1, N = 2211) = 159.39, p < 0.001",w = 0.27,0.27,"[0.23 , 0.31]",0.2768638226551001,NA,NA,YES,osf.io/3sn6j
Sarkissian et al. (2011),223,ANOVA (2-way),partial η2 = .16,"F (2, 218) = 20.7, p < 0.001",0.4,0.99,NA,0.42364893019360184,0.06741998624632421,3.3054647515538885e-10,363,ANOVA (2-way),"F(2,360) = 20.9, p < 0.001",partial η2 = 0.10,0.32,NA,0.3316471087051321,0.05270462766947299,3.1226962943702574e-10,YES,osf.io/dbx75/
Paxton et al. (2012),92,Student t-test,d = 0.43,"t(90) = 2.03, p = .05",0.21,0.83,"[0, 0.4]",0.21317134656485978,0.105999788000636,0.04431970450037435,298,Student t-test,"t(296) = 1.16, p = 0.24",d = 0.13,0.07,"[ -0.05 , 0.18 ]",0.07011467065432513,0.0582222509739582,0.2284894821480125,NO,osf.io/ejmyw
Schaffer & Knobe (2012),100,Student t-test,d = 0.68,"t(98) = 3.4, p = .001",0.32,0.99,"[0.13 , 0.49]",0.3316471087051321,0.10153461651336192,0.0010894534879556982,150,Student t-test,p <.001,d = 0.58,0.28,"[ 0.12 , 0.42 ]",0.28768207245178096,0.08247860988423225,4.8672132238954027e-4,YES,osf.io/pfng2
May & Holton (2012),117,ANOVA (2-way),partial η2 = .035,"F(1, 113) = 4.10, p = .045",0.19,0.53,"[0, 0.36]",0.1923371692195453,0.0936585811581694,0.04001451838890467,NA,ANOVA (2-way),"F(1, 364) = 7.06, p =.008",partial η2 = 0.019,0.14,"[0.04, 0.24]",0.14092557607049389,NA,NA,YES,osf.io/s37h6/
Nagel et al. (2013),202,GEE analysis,NA,"χ2 = 107.81, df = 1, N = 202, p < .001, B = 1.62, Exp(B) = 5.07",NA,NA,NA,NA,0.07088812050083358,NA,63,GEE analysis,"χ2(1, N = 63) = 58.23, p < .001, B = 0.42, Exp(B) = 1.52",NA,NA,NA,NA,0.12909944487358055,NA,YES,"osf.io/6yfxz
"
Beebe & Shea (2013),376,ANOVA (2-way),partial η2 = .078,"F(1, 368) = 31.127, p < 0.001",0.28,0.99,"[0.18 , 0.37]",0.28768207245178096,0.05177803730784977,2.759262439908737e-8,418,ANOVA (2-way),"F(1, 410) = 55.8, p < .001",partial η2 = 0.12,0.34,"[ 0.25 , 0.42 ]",0.35409252896224297,0.0490880693673816,5.456650034653384e-13,YES,osf.io/k89fc
Rose & Nichols (2013),60,Structural Equation Modelling (Chi-square),NA,"χ2(1, N = 60) =.9026, p=.3421",NA,NA,NA,NA,0.13245323570650439,NA,155,Structural Equation Modelling (Chi-square),"χ2(1, N = 155) = .198, p = .656",NA,NA,NA,NA,0.08111071056538127,NA,YES,osf.io/ggw7c/
Murray & Nahmias (2014),249,Sobel Test,NA,"Sobel test = 2.286, p < .022",NA,NA,NA,NA,0.06375767130633382,NA,335,Sobel Test,"Sobel test = 3.82, p = 0.0001",R2 = 0.066,0.26,NA,0.2661084068736541,0.05488212999484517,1.2425695445266068e-6,YES,osf.io/rpkjk/
Grau & Pury (2014),162,Student t-test,d = 0.41,"t(160)=2.58, p = .01, η2=0.040",0.2,0.96,"[0.05, 0.34]",0.2027325540540822,0.07930515857181442,0.010577355246929534,387,Student t-test,"t(385)=1.69, p=0.092, η2=0.007",d = 0.2,0.09,"[ -0.01 , 0.18 ]",0.09024418785614682,0.051031036307982884,0.076991099691603,NO,osf.io/xrhqe/
Liao et al. (2014),30,Student t-test (paired),r = 0.54,"t = 3.42, df = 29, p = .002",0.54,NA,"[0.21, 0.76]",0.6041556029622671,0.19245008972987526,0.0016936087448053013,99,Student t-test (paired),"t(97) = 6.483, p < .001",r = 0.55,0.55,"[0.39, 0.68]",0.6183813135744636,0.10206207261596577,1.3707708323297025e-9,YES,osf.io/7e8hz
Bjornsson et al. (2015),162,Chi-square (reconstructed),w = 0.3,"X2(1, N = 162) = 14.421, df = 1, p < .001",0.3,0.97,"[0.15, 0.43]",0.30951960420311175,0.07930515857181442,9.504945187906369e-5,302,Chi-square,"X2(1, N = 302) = 19.945, p < .001",w = 0.26,0.26,"[ 0.15 , 0.36 ]",0.2661084068736541,0.05783149319662402,4.195709411818479e-6,YES,osf.io/d8uvg/
Buckwalter & Schaffer (2015),264,ANOVA (2-way),partial η2 = .277,"F(1, 260) = 99.46, p < .001",0.52,0.99,"[0.43, 0.6]",0.5763397549691928,0.061898446059017294,1.26570374276777e-20,442,ANOVA (2-way),"F(1, 436) = 87.36, p <.001",partial η2 = 0.167,0.41,"[0.33,0.48]",0.43561122323622437,0.047727395990334764,7.037904272719428e-20,YES,osf.io/2ukpq
Kominsky et al. (2015),60,Student t-test,d = 0.568,"t(58) = -2.210, p = .031",0.27,0.87,"[0.02, 0.5]",0.2768638226551001,0.13245323570650439,0.03659301190904575,200,Student t-test,"t(198) = 4.1119, p < .001",d = 0.58,0.28,"[ 0.15 , 0.4 ]",0.28768207245178096,0.07124704998790965,5.395245312322034e-5,YES,osf.io/f5svw
